Namor,Shuri,,,,,
Everett Ross,Ramonda,,,,,
Shuri,Riri Williams,,,,,
Shuri,Namor,,,,,
Shuri,Riri Williams,,,,,
Shuri,Riri Williams,,,,,
Shuri,Riri Williams,,,,,
Ramonda,Nakia,,,,,
Namor,Shuri,,,,,
Riri Williams,Shuri,,,,,
Shuri,Namor,,,,,
Shuri,Namor,,,,,
Namor,Ramonda,,,,,
Ramonda,Namor,,,,,
Nakia,Riri Williams,Shuri,,,,
Shuri,Riri Williams,,,,,
Ramonda,Shuri,,,,,
Ramonda,Nakia,,,,,
Namor,Namora,,,,,
Ramonda,Shuri,,,,,
Shuri,Riri Williams,,,,,
Shuri,Ramonda,,,,,
Nakia,Ramonda,,,,,
Shuri,Riri Williams,,,,,
Namor,Attuma,,,,,
Okoye,Nakia,,,,,
Shuri,Aneka,,,,,
Riri Williams,Ramonda,Ayo,,,,
Nakia,Okoye,,,,,
Okoye,Nakia,,,,,
Ramonda,Ayo,,,,,
Ramonda,Riri Williams,,,,,
Ramonda,Shuri,,,,,
Shuri,Aneka,,,,,
Shuri,Aneka,,,,,
Shuri,Aneka,,,,,
Nakia,Okoye,,,,,
Ramonda,Griot,,,,,
Ramonda,Riri Williams,,,,,
Okoye,Ayo,,,,,
Okoye,Nakia,,,,,
Namora,Namor,,,,,
M'Baku,Namor,,,,,
Ramonda,Riri Williams,,,,,
M'Baku,Ayo,,,,,
Namor,Dora,,,,,
Shuri,Aneka,,,,,
Okoye,Nakia,,,,,
Okoye,Aneka,,,,,
Namor,Okoye,Nakia,Shuri,Ayo,Aneka,M'Baku
Shuri,Okoye,Nakia,Shuri,M'Baku,M'Bele,Ayo
Nakia,Shuri,,,,,
Everett Ross,Shuri,,,,,
Shuri,Griot,,,,,
Shuri,Everett Ross,,,,,
Everett Ross,Valentina Allegra de la Fontaine,,,,,
Shuri,Riri Williams,,,,,
Riri Williams,Shuri,,,,,
Shuri,Okoye,,,,,
Shuri,Griot,,,,,
Shuri,Nakia,,,,,
Shuri,Nakia,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Killmonger,,,,,
Shuri,Nakia,Riri Williams,,,,
Shuri,Nakia,,,,,
Shuri,Riri Williams,,,,,
Shuri,M'Baku,,,,,
Shuri,M'Baku,,,,,
Shuri,Nakia,Ayo,,,,
M'Baku,Shuri ,,,,,
Shuri,M'Baku ,,,,,
Nakia,Shuri ,,,,,
Okoye,Aneka,,,,,
Okoye,Aneka,,,,,
Okoye,Aneka,,,,,
Namor,Namora,,,,,
Namor,Attuma,,,,,
Shuri,Namor,,,,,
Shuri,Namor,,,,,
Okoye,Aneka,,,,,
Shuri,Namor,,,,,
Namor,Shuri,,,,,
M'Baku,Attuma,,,,,
Okoye,Aneka,,,,,
Ayo,Griot,,,,,
Namor,Shuri,,,,,
M'Baku,Attuma,,,,,
Okoye,Attuma,,,,,
Shuri,Namor,,,,,
Namor,Shuri,,,,,
Everett Ross,Valentina Allegra de la Fontaine,,,,,
Valentina Allegra de la Fontaine,Everett Ross,,,,,
Valentina Allegra de la Fontaine,Everett Ross,,,,,
Valentina Allegra de la Fontaine,Everett Ross,,,,,
Valentina Allegra de la Fontaine,Everett Ross,,,,,
Everett Ross,Valentina Allegra de la Fontaine,,,,,
Valentina Allegra de la Fontaine,Everett Ross,,,,,
Namora,Namor,,,,,
Shuri,Riri Williams,,,,,
Riri Williams,Shuri,,,,,
Shuri,Riri Williams,,,,,
M'Baku,Sope,,,,,
Shuri,Okoye,,,,,
Shuri,Okoye,,,,,
Shuri,Nakia,,,,,
Shuri,Nakia,,,,,
Shuri,Black Panther,,,,,
